HDI rank,Country,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling ,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank
87,Peru,0.74,74.8,13.4,9,11295.00,6,89
87,Thailand,0.74,74.6,13.6,7.9,14519.00,-11,88
89,Ecuador,0.739,76.1,14,8.3,10536.00,6,87
90,China,0.738,76,13.5,7.6,13345.00,-7,91
91,Fiji,0.736,70.2,15.3,10.5,8245.00,20,91
92,Mongolia,0.735,69.8,14.8,9.8,10449.00,4,93
92,Saint Lucia,0.735,75.2,13.1,9.3,9791.00,14,90
94,Jamaica,0.73,75.8,12.8,9.6,8350.00,16,94
95,Colombia,0.727,74.2,13.6,7.6,12762.00,-10,95
96,Dominica,0.726,77.9,12.8,7.9,10096.00,6,95
97,Suriname,0.725,71.3,12.7,8.3,16018.00,-27,97
97,Tunisia,0.725,75,14.6,7.1,10249.00,3,97
99,Dominican Republic,0.722,73.7,13.2,7.7,12756.00,-13,101
99,Saint Vincent and the Grenadines,0.722,73,13.3,8.6,10372.00,-1,99
101,Tonga,0.721,73,14.3,11.1,5284.00,33,101
102,Libya,0.716,71.8,13.4,7.3,14303.00,-25,100
103,Belize,0.706,70.1,12.8,10.5,7375.00,14,103
104,Samoa,0.704,73.7,12.9,10.3,5372.00,27,104
105,Maldives,0.701,77,12.7,6.2,10383.00,-8,105
105,Uzbekistan,0.701,69.4,12.2,12,5748.00,21,108
107,Moldova (Republic of),0.699,71.7,11.8,11.9,5026.00,31,105
108,Botswana,0.698,64.5,12.6,9.2,14663.00,-33,107
109,Gabon,0.697,64.9,12.6,8.1,19044.00,-46,109
110,Paraguay,0.693,73,12.3,8.1,8182.00,3,110
111,Egypt,0.691,71.3,13.1,7.1,10064.00,-7,111
111,Turkmenistan,0.691,65.7,10.8,9.9,14026.00,-32,111
113,Indonesia,0.689,69.1,12.9,7.9,10053.00,-8,113
114,"Palestine, State of",0.684,73.1,12.8,8.9,5256.00,21,115
115,Viet Nam,0.683,75.9,12.6,8,5335.00,18,115
116,Philippines,0.682,68.3,11.7,9.3,8395.00,-7,114
117,El Salvador,0.68,73.3,13.2,6.5,7732.00,-3,115
118,Bolivia (Plurinational State of),0.674,68.7,13.8,8.2,6155.00,6,118
119,South Africa,0.666,57.7,13,10.3,12087.00,-30,119
120,Kyrgyzstan,0.664,70.8,13,10.8,3097.00,32,120
121,Iraq,0.649,69.6,10.1,6.6,11608.00,-30,121
122,Cabo Verde,0.648,73.5,13.5,4.8,6049.00,3,122
123,Morocco,0.647,74.3,12.1,5,7195.00,-4,123
124,Nicaragua,0.645,75.2,11.7,6.5,4747.00,16,124
125,Guatemala,0.64,72.1,10.7,6.3,7063.00,-4,126
125,Namibia,0.64,65.1,11.7,6.7,9770.00,-18,126
127,Guyana,0.638,66.5,10.3,8.4,6884.00,-5,125
127,Micronesia (Federated States of),0.638,69.3,11.7,9.7,3291.00,22,126
129,Tajikistan,0.627,69.6,11.3,10.4,2601.00,30,129
130,Honduras,0.625,73.3,11.2,6.2,4466.00,11,130
131,India,0.624,68.3,11.7,6.3,5663.00,-4,131
132,Bhutan,0.607,69.9,12.5,3.1,7081.00,-12,132
133,Timor-Leste,0.605,68.5,12.5,4.4,5371.00,-1,133
134,Vanuatu,0.597,72.1,10.8,6.8,2805.00,23,134
135,Congo,0.592,62.9,11.1,6.3,5503.00,-7,135
135,Equatorial Guinea,0.592,57.9,9.2,5.5,21517.00,-79,137
137,Kiribati,0.588,66.2,11.9,7.8,2475.00,23,136
138,Lao People's Democratic Republic,0.586,66.6,10.8,5.2,5049.00,-2,137
139,Bangladesh,0.579,72,10.2,5.2,3341.00,8,140
139,Ghana,0.579,61.5,11.5,6.9,3839.00,5,140
139,Zambia,0.579,60.8,12.5,6.9,3464.00,7,139
142,Sao Tome and Principe,0.574,66.6,12,5.3,3070.00,12,142
143,Cambodia,0.563,68.8,10.9,4.7,3095.00,10,143
144,Nepal,0.558,70,12.2,4.1,2337.00,19,144
145,Myanmar,0.556,66.1,9.1,4.7,4943.00,-6,146
146,Kenya,0.555,62.2,11.1,6.3,2881.00,10,147
147,Pakistan,0.55,66.4,8.1,5.1,5031.00,-10,148
148,Swaziland,0.541,48.9,11.4,6.8,7522.00,-33,149
149,Syrian Arab Republic,0.536,69.7,9,5.1,2441.00,13,145
150,Angola,0.533,52.7,11.4,5,6291.00,-27,150
151,Tanzania (United Republic of),0.531,65.5,8.9,5.8,2467.00,10,152
152,Nigeria,0.527,53.1,10,6,5443.00,-23,151
153,Cameroon,0.518,56,10.4,6.1,2894.00,2,154
154,Papua New Guinea,0.516,62.8,9.9,4.3,2712.00,4,153
154,Zimbabwe,0.516,59.2,10.3,7.7,1588.00,20,158
156,Solomon Islands,0.515,68.1,9.6,5.3,1561.00,19,155
157,Mauritania,0.513,63.2,8.5,4.3,3527.00,-12,155
158,Madagascar,0.512,65.5,10.3,6.1,1320.00,25,157
159,Rwanda,0.498,64.7,10.8,3.8,1617.00,14,162
160,Comoros,0.497,63.6,11.1,4.8,1335.00,22,160
160,Lesotho,0.497,50.1,10.7,6.1,3319.00,-12,161
162,Senegal,0.494,66.9,9.5,2.8,2250.00,3,163
163,Haiti,0.493,63.1,9.1,5.2,1657.00,9,164
163,Uganda,0.493,59.2,10,5.7,1670.00,8,165
165,Sudan,0.49,63.7,7.2,3.5,3846.00,-22,165
166,Togo,0.487,60.2,12,4.7,1262.00,18,167
167,Benin,0.485,59.8,10.7,3.5,1979.00,1,168
168,Yemen,0.482,64.1,9,3,2300.00,-4,159
169,Afghanistan,0.479,60.7,10.1,3.6,1871.00,1,169
170,Malawi,0.476,63.9,10.8,4.4,1073.00,16,170
171,Côte d'Ivoire,0.474,51.9,8.9,5,3163.00,-20,172
172,Djibouti,0.473,62.3,6.3,4.1,3216.00,-22,171
173,Gambia,0.452,60.5,8.9,3.3,1541.00,3,173
174,Ethiopia,0.448,64.6,8.4,2.6,1523.00,5,174
175,Mali,0.442,58.5,8.4,2.3,2218.00,-9,175
176,Congo (Democratic Republic of the),0.435,59.1,9.8,6.1,680.00,15,178
177,Liberia,0.427,61.2,9.9,4.4,683.00,13,177
178,Guinea-Bissau,0.424,55.5,9.2,2.9,1369.00,3,179
179,Eritrea,0.42,64.2,5,3.9,1490.00,1,181
179,Sierra Leone,0.42,51.3,9.5,3.3,1529.00,-1,176
181,Mozambique,0.418,55.5,9.1,3.5,1098.00,4,182
181,South Sudan,0.418,56.1,4.9,4.8,1882.00,-12,179
183,Guinea,0.414,59.2,8.8,2.6,1058.00,4,182
184,Burundi,0.404,57.1,10.6,3,691.00,5,184
185,Burkina Faso,0.402,59,7.7,1.4,1537.00,-8,185
186,Chad,0.396,51.9,7.3,2.3,1991.00,-19,186
187,Niger,0.353,61.9,5.4,1.7,889.00,1,187
188,Central African Republic,0.352,51.5,7.1,4.2,587.00,4,188
